art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/ovn_albion_only								
albion_morrigan	general				false	true	albion_morrigan	1.0
albion_warleader	general				false	true	albion_warleader	1.0
albion_truthsayer_beast	general				false	true	albion_truthsayer_beast	1.0
albion_truthsayer_life	general				false	true	albion_truthsayer_life	1.0
albion_truthsayer_light	general				false	true	albion_truthsayer_light	1.0
albion_truthsayer_truth	general				false	true	albion_truthsayer_truth	1.0
albion_wyrd_druid	wizard				false	false	albion_wyrd_druid	1.0
albion_chief	champion				false	true	albion_chief	1.0
bl_elo_dural_durak	general				false	true	bl_elo_dural_durak	1.0
