key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constant	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/ovn_araby_only																																																								
ovn_arb_mnt_camel	horse	2.0000	6.0000	5.0000	5.1000	7.5000	40.0000	35.0000	35.0000	1.4000	ellipse	0.5000	1000.0000	2.0000	360.0000	60.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_dlc_wef_stag	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	0	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_elephant_cannon	man	1.6000	4.8000	3.0000	6.0000	8.4000	50.0000	40.0000	40.0000	1.3000	circle	1.0000	100.0000	1.0000	40.0000	60.0000	0	true	true	2.5000	0.0000	0.0000	large	1.0000	rotation	none	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	3			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_mon_genie	giant	2.0000	5.0000	4.0000	5.0000	6.0000	35.0000	25.0000	25.0000	1.3000	circle	1.0000	1400.0000	5.0000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh_wraith	5.0000	hovering_effects	50	50	0.0000	false	0.7500	0.9000	1			0.5000	1.6000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_mon_genie_jaffar	giant	2.0000	5.0000	4.0000	5.0000	6.0000	40.0000	25.0000	25.0000	1.3000	circle	1.0000	1400.0000	5.0000	60.0000	180.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh3_dae_generic_daemon_prince_LORD	5.0000	hovering_effects	50	50	0.0000	false	0.7500	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	0	true		false	false	wh_main_unit_combat	-1.0000	-1.0000	30	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_mon_sea_nymph	giant	1.5000	3.4000	4.0000	5.0000	4.2000	35.0000	25.0000	25.0000	0.7000	circle	1.0000	2000.0000	7.2000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	ovn_arb_sea_nymph	5.0000	hovering_effects	50	50	0.0000	false	1.0000	0.9000	2			0.5000	1.4500	1	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	70	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_mon_desert_spirit	giant	2.2000	5.4000	4.0000	5.0000	8.6000	45.0000	35.0000	35.0000	2.0000	capsule	0.9000	4000.0000	3.0000	60.0000	80.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	wh_wraith	5.0000	giant_effects	50	50	0.0000	false	1.0000	0.8000	4			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	25	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_mon_kharmel	giant	1.5000	3.4000	4.0000	5.0000	4.2000	35.0000	25.0000	25.0000	0.7000	circle	1.0000	2000.0000	7.2000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	wh_wraith	5.0000	hovering_effects	50	50	0.0000	false	1.0000	0.9000	2			0.5000	1.4500	2	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	70	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_mon_fire_efreet	giant	2.6000	3.6000	3.0000	4.0000	5.0000	35.0000	30.0000	30.0000	3.5000	circle	1.0000	5000.0000	4.0000	60.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	wh_giant	5.0000	giant_effects	50	50	0.0000	false	1.0000	0.7500	5			0.3000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_arb_mon_tempest_djinn	giant	3.0000	7.5000	4.0000	6.0000	10.0000	35.0000	30.0000	30.0000	4.4000	circle	1.0000	4000.0000	5.0000	60.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	ignore	wh_wraith	5.0000	giant_effects	50	50	-0.3000	false	0.8000	0.7500	5			0.5000	1.4500	2	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	90	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false
