unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/ovn_grudge	
azguz_bloodfist_dwarf_warriors	ovn_grudge
black_avangers	ovn_grudge
boris_von_raukov_4th_nuln_halberdiers	ovn_grudge
grudgebringer_cavalry	ovn_grudge
carlsson_cavalry	ovn_grudge
vannheim_75th	ovn_grudge
grudgebringer_infantry	ovn_grudge
dargrimm_firebeard_dwarf_warriors	ovn_grudge
elrod_wood_elf_glade_guards	ovn_grudge
galed_elf_archers	ovn_grudge
grudgebringer_crossbow	ovn_grudge
helmgart_bowmen	ovn_grudge
keelers_longbows	ovn_grudge
carlsson_guard	ovn_grudge
urblab_rotgut_mercenary_ogres	ovn_grudge
grudgebringer_cannon	ovn_grudge
uter_blomkwist_imperial_mortar	ovn_grudge
countess_guard	ovn_grudge
dieter_schaeffer_carroburg_greatswords	ovn_grudge
jurgen_muntz_outlaw_infantry	ovn_grudge
stephan_weiss_outlaw_pistoliers	ovn_grudge
ceridan	ovn_grudge
ice_mage_vladimir_stormbringer	ovn_grudge
morgan_bernhardt	ovn_grudge
morgan_bernhardt_mount	ovn_grudge
dwarf_envoy	ovn_grudge
treeman_knarlroot	ovn_grudge
treeman_gnarl_fist	ovn_grudge
imperial_cannon_darius_flugenheim	ovn_grudge
flagellants_eusebio_the_bleak	ovn_grudge
knights_of_the_realm_bertrand_le_grande	ovn_grudge
grail_knights_tristan_de_la_tourtristan_de_la_tour	ovn_grudge
ragnar_wolves	ovn_grudge
ragnar_wolves_upgrade	ovn_grudge
ludwig_uberdorf	ovn_grudge
ludwig_uberdorf_mount_main_units	ovn_grudge
ludwig_uberdorf_steam_tank_main_units	ovn_grudge
cam_ludwig_uberdorf_steam_tank_main_units	ovn_grudge
dwarf_envoy_dwarf_warriors	ovn_grudge
grudgebringers_wagon	ovn_grudge
wh_main_emp_inf_halberdiers_ovn_gru	ovn_grudge
wh_main_emp_inf_swordsmen_ovn_gru	ovn_grudge
wh_main_emp_inf_spearmen_0_ovn_gru	ovn_grudge
wh_main_emp_inf_crossbowmen_ovn_gru	ovn_grudge
wh2_dlc13_emp_inf_archers_0_ovn_gru	ovn_grudge
wh_main_emp_inf_handgunners_ovn_gru	ovn_grudge
wh3_main_ogr_inf_ogres_0_ovn_gru	ovn_grudge
wh_main_emp_inf_greatswords_ovn_gru	ovn_grudge
wh_dlc04_emp_inf_free_company_militia_0_ovn_gru	ovn_grudge
wh_main_emp_cav_empire_knights_ovn_gru	ovn_grudge
wh_main_emp_cav_pistoliers_1_ovn_gru	ovn_grudge
wh_dlc04_emp_inf_flagellants_0_ovn_gru	ovn_grudge
wh_main_dwf_inf_dwarf_warrior_0_ovn_gru	ovn_grudge
wh_main_dwf_inf_slayers_ovn_gru	ovn_grudge
wh3_main_ogr_inf_maneaters_0_ovn_gru	ovn_grudge
wh3_main_ogr_inf_maneaters_2_ovn_gru	ovn_grudge
wh3_main_ogr_inf_maneaters_3_ovn_gru	ovn_grudge
wh_main_dwf_inf_dwarf_warrior_1_ovn_gru	ovn_grudge
wh_main_emp_art_mortar_ovn_gru	ovn_grudge
wh_main_emp_art_great_cannon_ovn_gru	ovn_grudge
wh3_main_ogr_inf_maneaters_1_ovn_gru	ovn_grudge
matthias	ovn_grudge
luther_flamenstrike	ovn_grudge
luther_flamenstrike_mount	ovn_grudge
wh_main_emp_art_helstorm_rocket_battery	ovn_grudge
wh_dlc04_emp_cav_knights_blazing_sun_0	ovn_grudge
wh_main_emp_cav_reiksguard	ovn_grudge
wh_main_emp_art_helblaster_volley_gun	ovn_grudge
