attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/ovn_fimir	
chaos_territory	ovn_fim_rancor_hold
disease	ovn_fim_rancor_hold
swamp	ovn_fim_rancor_hold
non_vampire_territory	ovn_fim_rancor_hold
nurgle_plague	ovn_fim_rancor_hold
mountain	ovn_fim_rancor_hold
chaos_territory	ovn_fim_tendrils_of_doom
disease	ovn_fim_tendrils_of_doom
swamp	ovn_fim_tendrils_of_doom
non_vampire_territory	ovn_fim_tendrils_of_doom
nurgle_plague	ovn_fim_tendrils_of_doom
mountain	ovn_fim_tendrils_of_doom
chaos_territory	ovn_fim_mist_dragons
disease	ovn_fim_mist_dragons
swamp	ovn_fim_mist_dragons
non_vampire_territory	ovn_fim_mist_dragons
nurgle_plague	ovn_fim_mist_dragons
mountain	ovn_fim_mist_dragons
chaos_territory	ovn_fim_marsh_hornets
disease	ovn_fim_marsh_hornets
swamp	ovn_fim_marsh_hornets
non_vampire_territory	ovn_fim_marsh_hornets
nurgle_plague	ovn_fim_marsh_hornets
mountain	ovn_fim_marsh_hornets
