character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/ovn_fimir_only				
fim_meargh_skattach_innate	fim_skattach_fimir_magic_res	1	general_to_force_own	10.0000
fim_meargh_skattach_innate	fimir_warrior_elite_up	1	general_to_force_own	-15.0000
fim_meargh_skattach_innate	wh_main_effect_force_all_campaign_replenishment_rate	1	general_to_force_own	5.0000
fim_meargh_skattach_ancient_leadership	wh_main_effect_force_all_campaign_sacking_income	1	character_to_character_own	100.0000
fim_meargh_skattach_ancient_leadership	wh_main_effect_public_order_characters	1	faction_to_province_own	2.0000
fim_meargh_skattach_death_quest	fim_skattach_fianna_damage	1	general_to_force_own	10.0000
fim_meargh_skattach_death_quest	fim_skattach_fianna_guardian	1	general_to_force_own	1.0000
fim_meargh_skattach_death_quest	fim_skattach_fianna_upkeep	1	general_to_force_own	-30.0000
fim_meargh_skattach_poison_mist	fim_skattach_enable_poison_mist	1	character_to_character_own	1.0000
fim_meargh_skattach_maddened_mother	wh_main_effect_character_stat_unit_health	1	character_to_character_own	10.0000
fim_meargh_skattach_maddened_mother	fim_skattach_enable_madness	1	character_to_character_own	1.0000
fim_meargh_skattach_witch_queen	wh2_dlc12_effect_magic_cooldown_all_lores	1	character_to_character_own	-10.0000
fim_meargh_skattach_witch_queen	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	1	character_to_force_own_unseen	20.0000
fim_meargh_skattach_witch_queen	fim_skattach_apprentices_range	1	general_to_force_own	10.0000
fim_meargh_skattach_witch_queen	fim_skattach_apprentices_damage	1	general_to_force_own	10.0000
fim_skattach_summon_swampdaemons	fim_skattach_daemon_damage	1	character_to_character_own	10.0000
fim_skattach_summon_swampdaemons	fim_skattach_enable_summon_bloodletter	1	character_to_character_own	1.0000
fim_meargh_skattach_anc_throne_hellmother	fim_skattach_enable_throne_mount	1	character_to_character_own	1.0000
anc_boglar_shaman_hound	wh_main_effect_enable_mount_giant_wolf	1	character_to_character_own	1.0000
fimir_riders_doggos	elo_fimir_rusher_sp	1	general_to_force_own	6.0000
fimir_riders_doggos	elo_fimir_rusher_ch	2	general_to_force_own	6.0000
fimir_riders_doggos	elo_fimir_rusher_sp	2	general_to_force_own	9.0000
fimir_riders_doggos	elo_fimir_rusher_ch	3	general_to_force_own	12.0000
fimir_riders_doggos	elo_fimir_rusher_sp	3	general_to_force_own	12.0000
fimir_sacrifices	elo_fimir_first_wave_ma	1	general_to_force_own	4.0000
fimir_sacrifices	elo_fimir_first_wave_ma	2	general_to_force_own	6.0000
fimir_sacrifices	elo_fimir_first_wave_wps	2	general_to_force_own	6.0000
fimir_sacrifices	elo_fimir_first_wave_ma	3	general_to_force_own	8.0000
fimir_sacrifices	elo_fimir_first_wave_wps	3	general_to_force_own	12.0000
fimir_bog_monsters	elo_fimir_bog_monsters_ma	1	general_to_force_own	4.0000
fimir_bog_monsters	elo_fimir_bog_monsters_arm	2	general_to_force_own	6.0000
fimir_bog_monsters	elo_fimir_bog_monsters_ma	2	general_to_force_own	4.0000
fimir_bog_monsters	elo_fimir_bog_monsters_arm	3	general_to_force_own	12.0000
fimir_bog_monsters	elo_fimir_bog_monsters_ma	3	general_to_force_own	6.0000
fimir_swamp_warriors	elo_fimir_swamp_warriors_ma	1	general_to_force_own	4.0000
fimir_swamp_warriors	elo_fimir_swamp_warriors_ma	2	general_to_force_own	4.0000
fimir_swamp_warriors	elo_fimir_swamp_warriors_wps	2	general_to_force_own	6.0000
fimir_swamp_warriors	elo_fimir_swamp_warriors_ma	3	general_to_force_own	6.0000
fimir_swamp_warriors	elo_fimir_swamp_warriors_wps	3	general_to_force_own	12.0000
fimir_fen_giants	elo_fimir_giants_fen_ma	1	general_to_force_own	4.0000
fimir_fen_giants	elo_fimir_giants_fen_ma	2	general_to_force_own	4.0000
fimir_fen_giants	elo_fimir_giants_fen_md	2	general_to_force_own	4.0000
fimir_fen_giants	elo_fimir_giants_fen_ma	3	general_to_force_own	6.0000
fimir_fen_giants	elo_fimir_giants_fen_md	3	general_to_force_own	6.0000
fimir_ranged_units	fim_effect_force_stat_missile_damage_fimir_ranged_units	1	general_to_force_own	4.0000
fimir_ranged_units	fim_effect_force_stat_ammunition_fimir_ranged_units	2	general_to_force_own	10.0000
fimir_ranged_units	fim_effect_force_stat_missile_damage_fimir_ranged_units	2	general_to_force_own	6.0000
fimir_ranged_units	fim_effect_force_stat_ammunition_fimir_ranged_units	3	general_to_force_own	20.0000
fimir_ranged_units	fim_effect_force_stat_missile_damage_fimir_ranged_units	3	general_to_force_own	8.0000
fimir_r7_warriors	elo_fimir_r7_warriors_armour	1	general_to_force_own	12.0000
fimir_r7_warriors	elo_fimir_r7_warriors_md	1	general_to_force_own	5.0000
fimir_r7_warriors	elo_fimir_r7_warriors_phyres	1	general_to_force_own	10.0000
fimir_r7_elite_monsters	elo_fimir_r7_auxillaries_missres	1	general_to_force_own	15.0000
fimir_r7_elite_monsters	elo_fimir_r7_auxillaries_morale	1	general_to_force_own	5.0000
fimir_r7_elite_monsters	elo_fimir_r7_auxillaries_wps	1	general_to_force_own	12.0000
fimir_r7_fast_beasts	elo_fimir_r7_fast_wps	1	general_to_force_own	12.0000
fimir_r7_fast_beasts	elo_fimir_r7_fast_ch	1	general_to_force_own	12.0000
fimir_r7_fast_beasts	elo_fimir_r7_fast_ma	1	general_to_force_own	5.0000
fimir_r7_elite_giants	elo_fimir_r7_giants_armour	1	general_to_force_own	12.0000
fimir_r7_elite_giants	elo_fimir_r7_giants_ward	1	general_to_force_own	8.0000
fimir_r7_elite_giants	elo_fimir_r7_giants_wps	1	general_to_force_own	12.0000
fimir_worthless_slaves	fimir_slaves_upkeep	1	general_to_force_own	-70.0000
fimir_worthless_slaves	fimir_slaves_cost	1	general_to_force_own	-90.0000
fimir_warrior_elite	fimir_warrior_elite_xp	1	general_to_force_own	4.0000
fimir_warrior_elite	fimir_warrior_elite_md	1	general_to_force_own	8.0000
fimir_warrior_elite	fimir_warrior_elite_up	1	general_to_force_own	15.0000
fimir_warrior_elite	fimir_warrior_elite_cost	1	general_to_force_own	35.0000
fimir_untamed_monsters	fimir_untamed_monsters_frenzy	1	general_to_force_own	1.0000
fimir_untamed_monsters	fimir_untamed_monsters_guerilla	1	general_to_force_own	1.0000
fimir_untamed_monsters	fimir_untamed_monsters_rampage	1	general_to_force_own	1.0000
elo_fimir_from_mists	wh_main_effect_force_army_campaign_ambush_attack_success_chance	1	general_to_force_own	15.0000
elo_fimir_from_mists	wh_main_effect_agent_movement_range_mod	1	character_to_character_own	5.0000
