building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/ovn_fimir_buildings								
ovn_fimir_settlement_major_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_1	true
ovn_fimir_settlement_major_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_2	true
ovn_fimir_settlement_major_3		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_3	true
ovn_fimir_settlement_major_4		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_4	true
ovn_fimir_settlement_major_5		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_5	true
ovn_fimir_settlement_major_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	wh_main_settlement_major_ruin	true
ovn_fimir_settlement_minor_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_1	true
ovn_fimir_settlement_minor_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_2	true
ovn_fimir_settlement_minor_3		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	dark_elves_city_ruin	false	ovn_fimir_settlement_major_3	true
ovn_fimir_settlement_minor_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	wh_main_settlement_major_ruin	true
ovn_fimir_infantry_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	fimir_mil	false	ovn_fimir_infantry_1	true
ovn_fimir_infantry_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	fimir_mil	false	ovn_fimir_infantry_2	true
ovn_fimir_infantry_3		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	fimir_mil	false	ovn_fimir_infantry_3	true
ovn_fimir_marsh_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	cst_flying_recruitment	false	ovn_fimir_marsh_1	true
ovn_fimir_marsh_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	cst_flying_recruitment	false	ovn_fimir_marsh_2	true
ovn_fimir_cavalry_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	vampire_forest	false	ovn_fimir_cavalry_1	true
ovn_fimir_cavalry_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	vampire_forest	false	ovn_fimir_cavalry_2	true
ovn_fimir_fianna_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	fimir_beast	false	ovn_fimir_fianna_1	true
ovn_fimir_fianna_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	fimir_beast	false	ovn_fimir_fianna_2	true
ovn_fimir_fianna_3		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	fimir_beast	false	ovn_fimir_fianna_3	true
ovn_fimir_dirach_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	beastmen_arcane	false	ovn_fimir_dirach_1	true
ovn_fimir_dirach_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	beastmen_arcane	false	ovn_fimir_dirach_2	true
ovn_fimir_dirach_3		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	beastmen_arcane	false	ovn_fimir_dirach_3	true
ovn_fimir_daemons_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	chaos_forge	false	ovn_fimir_daemons_1	true
ovn_fimir_daemons_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	chaos_forge	false	ovn_fimir_daemons_2	true
ovn_fimir_growth_1		ovn_sc_fim_fimir			nor_slaves	false	ovn_fimir_growth_1	true
ovn_fimir_growth_2		ovn_sc_fim_fimir			nor_slaves	false	ovn_fimir_growth_2	true
ovn_fimir_growth_3		ovn_sc_fim_fimir			nor_slaves	false	ovn_fimir_growth_3	true
ovn_fimir_income_1		ovn_sc_fim_fimir			wood_elves_crafts	false	ovn_fimir_income_1	true
ovn_fimir_income_2		ovn_sc_fim_fimir			wood_elves_crafts	false	ovn_fimir_income_2	true
ovn_fimir_income_3		ovn_sc_fim_fimir			wood_elves_crafts	false	ovn_fimir_income_3	true
ovn_fimir_order_1		ovn_sc_fim_fimir			nor_chaos_worship	false	ovn_fimir_order_1	true
ovn_fimir_order_2		ovn_sc_fim_fimir			nor_chaos_worship	false	ovn_fimir_order_2	true
ovn_fimir_order_3		ovn_sc_fim_fimir			nor_chaos_worship	false	ovn_fimir_order_3	true
ovn_fimir_port_1		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	greenskins_port	false	ovn_fimir_port_1	true
ovn_fimir_port_2		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	greenskins_port	false	ovn_fimir_port_2	true
ovn_fimir_port_3		ovn_sc_fim_fimir		wh_main_PLACEHOLDER	greenskins_port	false	ovn_fimir_port_3	true
