phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_fimir_only			
magic_siphon	stat_morale	15.0000	add
elo_fimir_witness_me	stat_charge_bonus	1.1500	mult
elo_fimir_witness_me	stat_melee_damage_ap	1.2000	mult
elo_fimir_witness_me	stat_melee_damage_base	1.2000	mult
elo_fimir_witness_me	stat_melee_attack	10.0000	add
ovn_mystic_mist	stat_resistance_missile	6.0000	add
fim_skattach_poison_mist	stat_morale	-15.0000	add
ovn_unit_passive_aura_great_eye	stat_morale	10.0000	add
ovn_fim_kroll_fulcrum_of_worship	stat_morale	10.0000	add
ovn_fim_kroll_fulcrum_of_worship	stat_resistance_magic	15.0000	add
ovn_fim_kroll_fulcrum_of_worship	stat_melee_damage_base	1.2000	mult
ovn_chs_dark_god_blessing	stat_morale	8.0000	add
fim_skattach_madness	scalar_spell_mastery	1.6000	mult
ovn_fimir_kroll_dmg_reflect	stat_damage_reflection	10.0000	add
ovn_fimir_skattach_throne_command_attack	stat_charge_bonus	1.4000	mult
ovn_fimir_skattach_throne_command_attack	stat_melee_attack	14.0000	add
ovn_fimir_skattach_throne_command_attack	scalar_splash_attack_power	1.2000	mult
ovn_fimir_skattach_throne_command_attack	stat_melee_damage_base	1.2000	mult
ovn_fimir_skattach_throne_command_defend	stat_melee_defence	1.2000	mult
ovn_fimir_skattach_throne_command_defend	stat_morale	10.0000	add
ovn_fimir_skattach_throne_command_defend	stat_armour	10.0000	add
ovn_fimir_skattach_throne_command_defend	stat_missile_block_chance	5.0000	add
