effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/ovn_cod_only					
ovn_stormrider_mount_sharpclaw	mount.png	50	mount.png	both	true
cod_threat_vhigh_dummy	cod_threat_vhigh.png	2	cod_threat_vhigh.png	campaign	false
cod_threat_high_dummy	cod_threat_high.png	2	cod_threat_high.png	campaign	false
cod_threat_vlow_dummy	cod_threat_vlow.png	2	cod_threat_vlow.png	campaign	true
cod_threat_low_dummy	cod_threat_low.png	2	cod_threat_low.png	campaign	true
landmark_effect_produce_res_cathay	res_cathay.png	3	res_cathay.png	campaign	true
ovn_cod_mech_diplo_improve	diplomacy.png	4	diplomacy.png	campaign	true
ovn_cod_defender_mech_dummy_good	cod_naval_defender_vgood.png	2	cod_naval_defender_vgood.png	campaign	true
ovn_cod_defender_mech_dummy_bad	cod_naval_defender_block.png	2	cod_naval_defender_block.png	campaign	true
ovn_cod_cth_contact_dummy	cod_cth_flag.png	2	cod_cth_flag.png	campaign	true
ovn_cod_defender_mech_dummy_bad	cod_naval_defender_block.png	2	cod_naval_defender_block.png	campaign	true
ovn_cod_as_noble_dummy	noble.png	2	noble.png	campaign	true
ovn_cod_ll_visit_dummy	noble.png	2	noble.png	campaign	true
ovn_cod_naval_defender_turns_until_change	turns.png	70	turns.png	campaign	false
ovn_cod_naval_defender_turns_until_change	turns.png	70	turns.png	campaign	false
ovn_cod_naval_defender_change_description	trait_high_elves.png	70	trait_high_elves.png	campaign	false
ovn_cod_naval_defender_change_turns	turns.png	1	turns.png	campaign	false
ovn_cod_naval_defender_change_list	cod_blank.png	2	cod_blank.png	campaign	false
